Index;Route_Instance;Supernet;Subnet;ASN;AS_Path;Destination_Interface;Local;Router
104;TRANSIT-KMLP8.inet.0;142.231.0.0/16;142.231.109.0/24;271;271;lt-1/0/0.62;No;cr1.mgmt.kmlp8
105;IX-KMLP8.inet.0;142.231.0.0/16;142.231.109.0/24;271;271;lt-1/0/0.64;No;cr1.mgmt.kmlp8
106;TRANSIT-KMLP8.inet.0;192.219.32.0/19;192.219.32.0/19;577;6327 577;xe-1/0/0:2.0;No;cr1.mgmt.kmlp8
107;TRANSIT-KMLP8.inet.0;192.219.32.0/19;192.219.32.0/19;577;852 577;xe-0/0/0:2.0;No;cr1.mgmt.kmlp8
108;inet.0;206.12.0.0/16;206.12.0.9/32;271;271;lo0.0;Yes;cr1.mgmt.kmlp8
109;inet.0;206.12.0.0/16;206.12.76.0/24;271;271;lt-0/1/0.202;No;cr1.mgmt.kmlp8
110;inet.0;206.12.0.0/16;206.12.77.0/24;271;271;lt-0/1/0.202;No;cr1.mgmt.kmlp8
111;inet.0;206.12.0.0/16;206.12.149.0/24;271;271;lt-0/1/0.202;No;cr1.mgmt.kmlp8
112;inet.0;206.12.0.0/16;206.12.172.0/23;271;271;lt-0/1/0.202;No;cr1.mgmt.kmlp8
113;inet.0;206.12.0.0/16;206.12.174.0/24;271;271;lt-0/1/0.202;No;cr1.mgmt.kmlp8
114;inet.2;206.12.0.0/16;206.12.0.9/32;271;271;lo0.0;Yes;cr1.mgmt.kmlp8
115;TRANSIT-KMLP8.inet.0;206.12.0.0/16;206.12.76.0/24;271;271;lt-0/0/0.204;No;cr1.mgmt.kmlp8
116;TRANSIT-KMLP8.inet.0;206.12.0.0/16;206.12.77.0/24;271;271;lt-0/0/0.204;No;cr1.mgmt.kmlp8
117;TRANSIT-KMLP8.inet.0;206.12.0.0/16;206.12.82.0/24;25668;6327 25668;xe-1/0/0:2.0;No;cr1.mgmt.kmlp8
118;TRANSIT-KMLP8.inet.0;206.12.0.0/16;206.12.82.0/24;25668;852 6939 25668;xe-0/0/0:2.0;No;cr1.mgmt.kmlp8
119;TRANSIT-KMLP8.inet.0;206.12.0.0/16;206.12.149.0/24;271;271;lt-0/0/0.204;No;cr1.mgmt.kmlp8
120;TRANSIT-KMLP8.inet.0;206.12.0.0/16;206.12.153.0/24;20473;6327 1299 20473;xe-1/0/0:2.0;No;cr1.mgmt.kmlp8
121;TRANSIT-KMLP8.inet.0;206.12.0.0/16;206.12.153.0/24;20473;852 3356 20473;xe-0/0/0:2.0;No;cr1.mgmt.kmlp8
122;TRANSIT-KMLP8.inet.0;206.12.0.0/16;206.12.172.0/23;271;271;lt-0/0/0.204;No;cr1.mgmt.kmlp8
123;TRANSIT-KMLP8.inet.0;206.12.0.0/16;206.12.174.0/24;271;271;lt-0/0/0.204;No;cr1.mgmt.kmlp8
124;IX-KMLP8.inet.0;206.12.0.0/16;206.12.3.9/32;271;271;lo0.3;Yes;cr1.mgmt.kmlp8
125;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.4/30;271;271;lt-1/1/0.74;No;cr1.mgmt.kmlp8
126;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.6/32;271;271;lt-1/1/0.74;Yes;cr1.mgmt.kmlp8
127;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.8/31;271;271;lt-0/1/0.201;No;cr1.mgmt.kmlp8
128;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.8/32;271;271;lt-0/1/0.201;Yes;cr1.mgmt.kmlp8
129;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.10/31;271;271;lt-1/0/0.58;No;cr1.mgmt.kmlp8
130;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.10/32;271;271;lt-1/0/0.58;Yes;cr1.mgmt.kmlp8
131;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.14/31;271;271;lt-1/0/0.64;No;cr1.mgmt.kmlp8
132;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.14/32;271;271;lt-1/0/0.64;Yes;cr1.mgmt.kmlp8
133;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.16/31;271;271;lt-0/1/0.50;No;cr1.mgmt.kmlp8
134;IX-KMLP8.inet.0;206.12.0.0/16;206.12.4.16/32;271;271;lt-0/1/0.50;Yes;cr1.mgmt.kmlp8
135;IX-KMLP8.inet.0;206.12.0.0/16;206.12.76.0/24;271;271;lt-0/1/0.201;No;cr1.mgmt.kmlp8
136;IX-KMLP8.inet.0;206.12.0.0/16;206.12.77.0/24;271;271;lt-0/1/0.201;No;cr1.mgmt.kmlp8
137;IX-KMLP8.inet.0;206.12.0.0/16;206.12.149.0/24;271;271;lt-0/1/0.201;No;cr1.mgmt.kmlp8
138;IX-KMLP8.inet.0;206.12.0.0/16;206.12.172.0/23;271;271;lt-0/1/0.201;No;cr1.mgmt.kmlp8
139;IX-KMLP8.inet.0;206.12.0.0/16;206.12.174.0/24;271;271;lt-0/1/0.201;No;cr1.mgmt.kmlp8
140;inet.0;207.23.0.0/16;207.23.8.0/21;271;271;lt-1/1/0.70;No;cr1.mgmt.kmlp8
